Name,Phone Number,Category
Theodore Davis,9479765530,Friends
Jessica Sanchez,6222437980,Family
Kevin Leonard,8500715897,Friends
Jason Garcia,6229940797,Work
Barbara Levine,9431816284,Family
Ronald Mercado,9458780158,Work
Thomas Pace,6662334222,Friends
William Wells,6355243453,Friends
Richard Jones,8091004762,Work
Charles Parker,8921382683,Friends
Brenda Fields,9796182204,Work
Jenny Velez,7597585496,Friends
Juan Anthony,7902785589,Friends
Kristen Singh,7560613478,Work
Lisa Ramirez,9712643627,Family
Jordan Kelly,7572210209,Friends
Scott Davis,6563425043,Friends
Wendy Oliver,7390529109,Family
Felicia Sanders,7754382851,Family
Jessica Porter,6191313096,Work
Mrs. Heidi Monroe PhD,9834863324,Family
Robert Harris,9267155502,Friends
Julia Mcmahon,9425106559,Family
Dorothy Simmons,8886014508,Family
Emily Gilbert,7995840011,Friends
