Student ID,Name,Java,Python,TOC,DS,CN
1,Student 1,74,80,52,54,76
2,Student 2,74,69,99,95,83
3,Student 3,72,70,51,52,72
4,Student 4,58,67,56,70,69
5,Student 5,77,68,54,61,81
6,Student 6,57,64,86,80,96
7,Student 7,83,93,75,54,88
8,Student 8,87,99,91,69,58
9,Student 9,74,79,78,55,66
10,Student 10,80,88,92,85,79
11,Student 11,100,58,82,85,73
12,Student 12,97,76,78,87,66
13,Student 13,68,51,93,97,99
14,Student 14,90,87,66,51,72
15,Student 15,81,99,92,71,79
16,Student 16,58,95,67,78,85
17,Student 17,69,78,55,75,85
18,Student 18,66,63,73,90,52
19,Student 19,91,67,51,71,76
20,Student 20,72,79,70,80,78
21,Student 21,54,83,66,69,96
22,Student 22,66,56,91,54,87
23,Student 23,77,74,98,77,62
24,Student 24,91,78,75,60,74
25,Student 25,87,75,69,77,57
26,Student 26,82,53,75,94,77
27,Student 27,72,59,99,55,70
28,Student 28,51,88,97,94,53
29,Student 29,68,92,92,75,73
30,Student 30,74,81,100,79,58
31,Student 31,72,80,55,70,85
32,Student 32,91,93,89,65,90
33,Student 33,99,78,98,86,71
34,Student 34,60,55,74,98,55
35,Student 35,65,98,63,84,56
36,Student 36,94,88,64,89,90
37,Student 37,81,91,75,82,65
38,Student 38,62,64,75,53,66
39,Student 39,64,60,92,90,68
40,Student 40,57,56,98,59,100
41,Student 41,83,99,55,89,71
42,Student 42,66,59,64,94,97
43,Student 43,98,85,65,88,76
44,Student 44,96,51,91,77,74
45,Student 45,82,57,66,55,65
46,Student 46,19,6,19,17,47
47,Student 47,35,3,5,12,32
48,Student 48,40,7,14,44,50
49,Student 49,1,13,29,47,43
50,Student 50,17,4,44,37,11
51,Student 51,0,35,43,0,45
52,Student 52,17,27,18,33,40
53,Student 53,43,41,10,49,8
54,Student 54,24,3,10,33,40
55,Student 55,19,15,28,4,2
56,Student 56,1,11,32,23,2
57,Student 57,0,50,17,24,5
58,Student 58,7,29,24,14,47
59,Student 59,33,30,29,43,34
60,Student 60,28,45,37,38,26
